Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,110,800,13,6,97.95479009687837,94.82758620689656,98.4009840098401,89.43089430894308,92.05020920502092,96.61428510836832
Candidiasis,19,900,3,7,98.92357373519914,73.07692307692307,99.66777408637874,86.36363636363636,79.16666666666666,86.3723485816509
Eczema,131,733,28,37,93.0032292787944,77.97619047619048,96.32063074901446,82.38993710691824,80.1223241590214,87.14841061260246
NailFungus,117,793,10,9,97.95479009687837,92.85714285714286,98.75466998754669,92.1259842519685,92.4901185770751,95.80590642234478
Normal,184,743,2,0,99.78471474703983,100.0,99.73154362416108,98.9247311827957,99.45945945945947,99.86577181208054
Psoriasis,130,711,49,39,90.52744886975242,76.92307692307693,93.55263157894737,72.62569832402235,74.71264367816092,85.23785425101215
Tinea,110,766,23,30,94.29494079655544,78.57142857142857,97.08491761723701,82.70676691729322,80.58608058608058,87.8281730943328
