Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,97,795,18,19,96.01722282023681,83.62068965517241,97.7859778597786,84.34782608695653,83.98268398268398,90.7033337574755
Candidiasis,16,898,5,10,98.38536060279871,61.53846153846154,99.44629014396456,76.19047619047619,68.08510638297872,80.49237584121305
Eczema,133,731,30,35,93.0032292787944,79.16666666666666,96.05781865965835,81.59509202453987,80.36253776435044,87.6122426631625
NailFungus,117,789,14,9,97.52421959095801,92.85714285714286,98.25653798256539,89.31297709923665,91.05058365758755,95.55684041985413
Normal,184,743,2,0,99.78471474703983,100.0,99.73154362416108,98.9247311827957,99.45945945945947,99.86577181208054
Psoriasis,122,719,41,47,90.52744886975242,72.18934911242604,94.60526315789474,74.84662576687117,73.49397590361446,83.39730613516039
Tinea,115,754,35,25,93.54144241119484,82.14285714285714,95.56400506970849,76.66666666666667,79.31034482758619,88.85343110628281
