Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,108,799,14,8,97.6318622174381,93.10344827586206,98.2779827798278,88.52459016393442,90.7563025210084,95.69071552784494
Candidiasis,17,901,2,9,98.81593110871906,65.38461538461539,99.77851605758582,89.47368421052632,75.55555555555556,82.5815657211006
Eczema,142,729,32,26,93.75672766415501,84.52380952380952,95.79500657030223,81.60919540229885,83.04093567251462,90.15940804705588
NailFungus,119,794,9,7,98.27771797631863,94.44444444444444,98.87920298879203,92.96875,93.7007874015748,96.66182371661823
Normal,184,743,2,0,99.78471474703983,100.0,99.73154362416108,98.9247311827957,99.45945945945947,99.86577181208054
Psoriasis,128,734,26,41,92.78794402583424,75.7396449704142,96.57894736842105,83.11688311688312,79.25696594427244,86.15929616941762
Tinea,118,761,28,22,94.6178686759957,84.28571428571429,96.4512040557668,80.82191780821918,82.51748251748252,90.36845917074055
