Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,107,805,8,9,98.17007534983854,92.24137931034483,99.0159901599016,93.04347826086956,92.64069264069263,95.62868473512322
Candidiasis,15,900,3,11,98.4930032292788,57.692307692307686,99.66777408637874,83.33333333333334,68.18181818181817,78.68004088934322
Eczema,144,730,31,24,94.07965554359527,85.71428571428571,95.9264126149803,82.28571428571428,83.96501457725947,90.820349164633
NailFungus,115,795,8,11,97.95479009687837,91.26984126984127,99.00373599003736,93.4959349593496,92.36947791164658,95.1367886299393
Normal,184,744,1,0,99.89235737351991,100.0,99.86577181208054,99.45945945945947,99.7289972899729,99.93288590604027
Psoriasis,134,726,34,35,92.57265877287406,79.28994082840237,95.52631578947368,79.76190476190477,79.52522255192879,87.40812830893803
Tinea,116,760,29,24,94.29494079655544,82.85714285714286,96.32446134347275,80.0,81.40350877192984,89.59080210030781
