Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,99,797,16,17,96.44779332615715,85.34482758620689,98.0319803198032,86.08695652173914,85.71428571428572,91.68840395300505
Candidiasis,16,894,9,10,97.95479009687837,61.53846153846154,99.00332225913621,64.0,62.745098039215684,80.27089189879888
Eczema,131,714,47,37,90.95801937567278,77.97619047619048,93.82391590013141,73.59550561797754,75.72254335260115,85.90005318816094
NailFungus,113,785,18,13,96.66307857911734,89.68253968253968,97.75840597758406,86.25954198473282,87.9377431906615,93.72047283006188
Normal,184,743,2,0,99.78471474703983,100.0,99.73154362416108,98.9247311827957,99.45945945945947,99.86577181208054
Psoriasis,115,722,38,54,90.09687836383208,68.04733727810651,95.0,75.16339869281046,71.42857142857142,81.52366863905326
Tinea,96,744,45,44,90.41980624327233,68.57142857142857,94.29657794676805,68.08510638297872,68.32740213523132,81.4340032590983
