Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,110,797,14,6,97.84250269687162,94.82758620689656,98.27373612823675,88.70967741935483,91.66666666666667,96.55066116756666
Candidiasis,20,895,6,6,98.70550161812298,76.92307692307693,99.33407325194229,76.92307692307693,76.92307692307693,88.1285750875096
Eczema,143,726,34,24,93.74325782092772,85.62874251497006,95.52631578947368,80.7909604519774,83.13953488372093,90.57752915222187
NailFungus,115,791,10,11,97.73462783171522,91.26984126984127,98.75156054931335,92.0,91.63346613545816,95.01070090957731
Normal,181,742,1,3,99.56850053937433,98.36956521739131,99.86541049798116,99.45054945054946,98.90710382513662,99.11748785768624
Psoriasis,126,728,30,43,92.12513484358145,74.55621301775149,96.04221635883906,80.76923076923077,77.53846153846155,85.29921468829527
Tinea,110,761,27,29,93.95900755124056,79.13669064748201,96.57360406091371,80.2919708029197,79.71014492753622,87.85514735419785
