Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,113,804,7,3,98.92125134843582,97.41379310344827,99.13686806411837,94.16666666666667,95.76271186440678,98.27533058378333
Candidiasis,21,896,5,5,98.92125134843582,80.76923076923077,99.44506104328525,80.76923076923077,80.76923076923077,90.10714590625801
Eczema,150,726,34,17,94.49838187702265,89.82035928143712,95.52631578947368,81.52173913043478,85.47008547008546,92.6733375354554
NailFungus,113,792,9,13,97.6267529665588,89.68253968253968,98.87640449438202,92.62295081967213,91.12903225806453,94.27947208846086
Normal,183,743,0,1,99.89212513484358,99.45652173913044,100.0,100.0,99.7275204359673,99.7282608695652
Psoriasis,133,734,24,36,93.52750809061489,78.69822485207101,96.83377308707124,84.71337579617835,81.59509202453987,87.76599896957113
Tinea,116,769,19,23,95.46925566343042,83.45323741007195,97.58883248730965,85.92592592592592,84.67153284671532,90.5210349486908
