Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,104,793,18,12,96.76375404530745,89.65517241379311,97.78051787916154,85.24590163934425,87.39495798319327,93.71784514647732
Candidiasis,20,893,8,6,98.48975188781014,76.92307692307693,99.11209766925639,71.42857142857143,74.07407407407408,88.01758729616665
Eczema,126,718,42,41,91.04638619201725,75.44910179640718,94.47368421052632,75.0,75.22388059701493,84.96139300346674
NailFungus,109,780,21,17,95.90075512405609,86.5079365079365,97.37827715355806,83.84615384615385,85.15625,91.9431068307473
Normal,184,734,9,0,99.02912621359224,100.0,98.78869448183042,95.33678756476684,97.61273209549071,99.39434724091521
Psoriasis,102,717,41,67,88.3495145631068,60.35502958579882,94.5910290237467,71.32867132867133,65.38461538461539,77.47302930477275
Tinea,91,736,52,48,89.21251348435814,65.46762589928058,93.4010152284264,63.63636363636363,64.53900709219859,79.43432056385349
