Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,105,791,22,11,96.44779332615715,90.51724137931035,97.2939729397294,82.67716535433071,86.41975308641975,93.90560715951987
Candidiasis,21,894,9,5,98.4930032292788,80.76923076923077,99.00332225913621,70.0,75.0,89.88627651418349
Eczema,124,724,37,44,91.28094725511302,73.80952380952381,95.13797634691196,77.01863354037268,75.37993920972643,84.47375007821789
NailFungus,117,794,9,9,98.06243272335846,92.85714285714286,98.87920298879203,92.85714285714286,92.85714285714286,95.86817292296745
Normal,184,744,1,0,99.89235737351991,100.0,99.86577181208054,99.45945945945947,99.7289972899729,99.93288590604027
Psoriasis,120,711,49,49,89.45102260495156,71.00591715976331,93.55263157894737,71.00591715976331,71.00591715976331,82.27927436935533
Tinea,108,766,23,32,94.07965554359527,77.14285714285715,97.08491761723701,82.44274809160305,79.70479704797049,87.11388738004709
