Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,108,803,10,8,98.06243272335846,93.10344827586206,98.76998769987699,91.52542372881356,92.3076923076923,95.93671798786954
Candidiasis,21,899,4,5,99.03121636167921,80.76923076923077,99.55703211517165,84.0,82.35294117647058,90.1631314422012
Eczema,126,731,30,42,92.2497308934338,75.0,96.05781865965835,80.76923076923077,77.77777777777779,85.52890932982918
NailFungus,117,792,11,9,97.84714747039828,92.85714285714286,98.63013698630137,91.40625,92.1259842519685,95.7436399217221
Normal,184,743,2,0,99.78471474703983,100.0,99.73154362416108,98.9247311827957,99.45945945945947,99.86577181208054
Psoriasis,125,714,46,44,90.31216361679225,73.96449704142012,93.94736842105263,73.09941520467837,73.5294117647059,83.95593273123639
Tinea,112,756,33,28,93.43379978471475,80.0,95.81749049429658,77.24137931034483,78.59649122807018,87.90874524714829
