Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,102,801,12,14,97.20129171151775,87.93103448275862,98.5239852398524,89.47368421052632,88.69565217391305,93.2275098613055
Candidiasis,20,900,3,6,99.03121636167921,76.92307692307693,99.66777408637874,86.95652173913044,81.63265306122449,88.29542550472783
Eczema,135,727,34,33,92.78794402583424,80.35714285714286,95.53219448094612,79.88165680473372,80.11869436201779,87.94466866904449
NailFungus,117,788,15,9,97.41657696447793,92.85714285714286,98.13200498132005,88.63636363636364,90.69767441860465,95.49457391923146
Normal,183,742,3,1,99.56942949407966,99.45652173913044,99.5973154362416,98.38709677419355,98.91891891891892,99.52691858768603
Psoriasis,125,718,42,44,90.7427341227126,73.96449704142012,94.47368421052632,74.8502994011976,74.40476190476191,84.21909062597321
Tinea,111,762,27,29,93.97201291711518,79.28571428571428,96.57794676806084,80.43478260869566,79.85611510791367,87.93183052688755
