Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,102,798,13,14,97.0873786407767,87.93103448275862,98.39704069050555,88.69565217391305,88.31168831168831,93.16403758663208
Candidiasis,17,891,10,9,97.95037756202805,65.38461538461539,98.89012208657047,62.96296296296296,64.15094339622641,82.13736873559293
Eczema,144,711,49,23,92.23300970873787,86.22754491017965,93.55263157894737,74.61139896373057,80.0,89.8900882445635
NailFungus,114,791,10,12,97.6267529665588,90.47619047619048,98.75156054931335,91.93548387096774,91.2,94.61387551275192
Normal,183,743,0,1,99.89212513484358,99.45652173913044,100.0,100.0,99.7275204359673,99.7282608695652
Psoriasis,117,736,22,52,92.01725997842503,69.23076923076923,97.0976253298153,84.17266187050359,75.97402597402598,83.16419728029227
Tinea,105,747,41,34,91.9093851132686,75.53956834532374,94.79695431472082,71.91780821917808,73.6842105263158,85.16826133002228
