Class,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced Accuracy
Acne,103,793,20,13,96.44779332615715,88.79310344827587,97.539975399754,83.73983739837398,86.19246861924687,93.16653942401494
Candidiasis,21,895,8,5,98.60064585575888,80.76923076923077,99.1140642303433,72.41379310344827,76.36363636363636,89.94164749978704
Eczema,131,711,50,37,90.6350914962325,77.97619047619048,93.42969776609723,72.37569060773481,75.07163323782237,85.70294412114386
NailFungus,115,783,20,11,96.66307857911734,91.26984126984127,97.5093399750934,85.18518518518519,88.12260536398468,94.38959062246734
Normal,184,744,1,0,99.89235737351991,100.0,99.86577181208054,99.45945945945947,99.7289972899729,99.93288590604027
Psoriasis,113,724,36,56,90.09687836383208,66.86390532544378,95.26315789473684,75.83892617449665,71.0691823899371,81.06353161009031
Tinea,99,761,28,41,92.57265877287406,70.71428571428572,96.4512040557668,77.95275590551181,74.15730337078652,83.58274488502626
